식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),니코틴산(mg),니코틴아마이드(mg),비오틴(μg),비타민 B6 / 피리독신(mg),비타민 B12(μg),엽산(μg DFE),콜린(mg),판토텐산(mg),비타민 D2(μg),비타민 D3(μg),비타민 E(mg α-TE),알파 토코페롤(mg),베타 토코페롤(mg),감마 토코페롤(mg),델타 토코페롤(mg),알파 토코트리에놀(mg),베타 토코트리에놀(mg),감마 토코트리에놀(mg),델타 토코트리에놀(mg),비타민 K(μg),비타민 K1(μg),비타민 K2(μg),갈락토오스(g),과당(g),당알콜(g),맥아당(g),알룰로오스(g),에리스리톨(g),유당(g),자당(g),타가토스(g),포도당(g),불포화지방산(g),EPA와 DHA의 합(mg),가돌레산(20:1) / 에이코센산(20:1)(mg),감마 리놀렌산(18:3(n-6))(mg),네르본산(24:1)(mg),도코사디에노산(22:2)(mg),도코사펜타에노산/토코사펜타엔산(22:5(n-3))(mg),DHA / 도코사헥사에노산/도코사헥사엔산(22:6(n-3))(mg),디호모리놀렌산/에이코사트리에노산(20:3(n-3))(mg),라우르산(12:0)(mg),리그노세르산(24:0)(mg),리놀레산(18:2(n-6))(g),미리스톨레산(14:1)(mg),미리스트산(14:0)(mg),박센산(18:1(n-7))(mg),베헨산(22:0)(mg),부티르산(4:0)(mg),스테아르산(18:0)(mg),스테아리돈산(18:4(n-3))(mg),아라키돈산(20:4(n-6))(mg),아라키드산(20:0)(mg),알파 리놀렌산(18:3(n-3))(g),에루크산(22:1)(mg),에이코사디에노산(20:2(n-6))(mg),에이코사트리에노산(20:3(n-6))(mg),EPA / 에이코사펜타에노산(20:5(n-3))(mg),오메가3 지방산(g),오메가6 지방산(g),올레산(18:1(n-9))(mg),카프로산(6:0)(mg),카프르산(10:0)(mg),카프릴산(8:0)(mg),트라이데칸산(13:0)(mg),트랜스 리놀레산(18:2t)(mg),트랜스 리놀렌산(18:3t)(mg),트랜스 올레산(18:1(n-9t)(mg),트리코산산(23:0)(mg),팔미톨레산(16:1)(mg),팔미트산(16:0)(mg),펜타데칸산(15:0)(mg),헨에이코산산(21:0)(mg),헵타데센산(17:1)(mg),헵타데칸산(17:0)(mg),구리(μg),마그네슘(mg),망간(mg),몰리브덴(μg),불소(mg),셀레늄(μg),아연(mg),염소(mg),요오드(μg),크롬(μg),아미노산(mg),필수아미노산(mg),비필수아미노산(mg),글루탐산(mg),글라이신(mg),라이신(mg),류신(mg),메티오닌(mg),발린(mg),세린(mg),시스테인(mg),아르기닌(mg),아스파르트산(mg),알라닌(mg),이소류신(mg),타우린(mg),트레오닌(mg),트립토판(mg),티로신(mg),페닐알라닌(mg),프롤린(mg),히스티딘(mg),토코페롤(mg),토코트리에놀(mg),출처코드,출처명,1회 섭취참고량,식품중량,품목제조보고번호,제조사명,수입업체명,유통업체명,수입여부,원산지국코드,원산지국명,데이터생성방법코드,데이터생성방법명,데이터생성일자,데이터기준일자,카페인(mg)
,간장,,,,,,,,,,,,,,,,127.4102952308857,58.8258064516129,7.741877365632098,3.69368591691996,8.41,15.63974936772888,6.15663133989402,1.7108695652173913,72.48979591836735,1.1127659574468085,95.38709677419357,254.15,2049.224072672218,81.0,2.7419354838709675,570.5483870967741,0.1576764705882352,0.316,1.911176470588235,8.964102564102564,0.35125,20.58704493526276,0.8828766086298259,0.0298532818532818,0.918,0.433,2.08,0.5832,0.5428571428571429,118.37845161290322,,0.2643333333333333,0.0,0.0,1.87345,0.0133333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6085714285714285,,0.9028571428571428,17.89,,0.0,4.561428571428571,,0.6699999999999999,0.3775,,14.812380952380956,2.921428571428572,3.603529411764706,0.5599999999999999,2.4175,47.637857142857136,0.0,1.6935999999999996,3.157857142857143,1.0760714285714286,1.2556,19.762400000000003,107.14285714285714,4.854285714285714,0.0,201.0016,0.2721428571428571,2.8892857142857147,8.478399999999999,0.1425,0.6871428571428572,4.475357142857143,28.571428571428573,19.195357142857144,0.2585714285714285,0.8042857142857143,787.7903571428571,0.0,0.5416000000000001,0.0,,35.0,7.5,10.0,,51.201600000000006,488.2664,,,,,165.0,40.90833333333333,0.1624999999999999,,,34.290000000000006,1.4355909090909091,,,,11677.14,,,1893.9275,429.1128571428572,955.92,663.0600000000001,275.0225,573.3874999999999,487.31,67.98750000000001,834.7149999999999,1074.645,669.575,376.9257142857143,,525.29,,329.395,494.1825,478.0825,309.6375,2.49,0.0125,,,,,,,,,,,,,,,,
,갈비,,,,,,,,,,,,,,,,175.1104507181773,63.370512820512815,9.687465249543258,8.33482518431526,1.4936,14.724649803834067,4.679161290322581,1.2367346938775512,33.42,1.018333333333333,129.84615384615384,240.4318181818182,444.15948489351166,39.3421052631579,4.846153846153846,176.33333333333334,0.2431666666666666,0.2075348837209302,2.5659534883720934,3.5922222222222224,0.9758064516129032,29.834447274579727,2.777783837382251,0.1226605033384694,0.0,4.3225,2.015,0.5353333333333333,0.9694444444444446,73.18822857142857,,0.6886,0.0,0.41,1.1627272727272728,0.1975,0.0,0.01,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.3386666666666666,,0.3273333333333333,,,0.0,0.8373333333333333,,0.1946666666666666,8.94942857142857,,52.40619047619048,1.0375862068965518,0.005,0.085,6.093000000000001,2.008,20.585,13.197037037037036,1.16,157.50965517241383,31.981851851851857,192.0274074074074,189.28,1.205,3.8461538461538463,1004.1322222222224,0.0,8.717931034482758,13.371111111111112,8.131379310344826,1.04,23.8348275862069,32.891333333333336,2.4883333333333337,0.1025,1.4525,3129.410344827586,0.0,6.394074074074074,0.0,,81.53846153846153,8.461538461538462,215.0233333333333,,262.37814814814817,1885.6166666666663,,,,,63.07692307692308,20.40117647058824,0.1,,,19.755384615384614,3.0046,,,,13691.945714285715,,,2561.496923076923,913.1122222222224,1296.3115384615387,1246.7872222222222,298.45230769230767,711.873076923077,608.7661538461539,91.78,991.3292307692308,1395.2315384615383,941.4984615384616,682.6988888888889,,672.2846153846154,,436.7366666666667,606.6030769230769,575.0130769230769,429.0607692307693,1.3815384615384616,0.0892307692307692,,,,,,,,,,,,,,,,
,갈비탕,,,,,,,,,,,,,,,,54.36491228070175,82.9,4.417748807917229,3.148454925775978,0.79,2.1785909581646425,0.3681403508771929,1.1,11.5,1.23,46.0,103.0,296.7684210526316,2.5,1.0,14.0,0.0095,0.0795,0.2655,0.26,0.01,15.46021052631579,1.1762105263157896,0.0847183098591549,,,,,0.67,6.550000000000001,,,,,,,,,,,,,,,,,,0.06,,0.0,,,0.0,0.04,,0.01,,,0.0,0.0,,,0.965,0.75,,3.215,,0.12,32.66,110.765,20.0,,0.0,392.825,,1.13,1.59,0.01,,1.41,10.0,0.015,,,1326.985,0.0,1.33,0.0,,20.0,0.0,40.0,,176.565,820.775,,,,,0.0,6.81,0.02,,,5.73,2.87,,,,8094.84,,,1407.8,755.73,678.19,600.54,150.04,343.21,362.87,117.47,566.18,696.11,597.23,304.7,,345.55,,233.27,308.96,422.9,204.09,0.41,0.01,,,,,,,,,,,,,,,,
,감귤,,,,,,,,,,,,,,,,204.08428246013668,,2.115037965072134,5.650042242703533,,36.50880952380952,22.671867881548977,4.8,335.6666666666667,,,,54.00227790432802,,,,1.7,15.094,,775.958,5.415,3.324953917050691,3.516826484018265,0.0145622119815668,,,15.2,1.0,,399.996,,3.5,,16.667,,,,,,,,,,,,,,,50.0,,21.3,4.009666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,7.233333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,감자,,,,,,,,,,,,,,,,228.7327647476901,56.9459090909091,5.357255182421227,8.80657284665173,1.5981818181818184,32.004684594829726,3.609072091363312,2.284285714285714,29.2054794520548,0.6564285714285714,68.33333333333333,350.37142857142857,378.88557213930346,16.234375,3.909090909090909,105.9076923076923,0.0942121212121212,0.077776119402985,0.8187727272727274,5.733529411764706,0.04171875,10.911104387291983,2.781692307692308,0.0329167950693374,0.3765,0.31625,0.5011111111111111,0.27975,0.018695652173913,18.036250000000003,,0.3730833333333334,0.0,0.0181818181818181,0.4157142857142856,0.4930769230769231,0.0081818181818181,0.5083333333333333,0.0533333333333333,0.0245454545454545,0.0009090909090909,0.0245454545454545,0.0045454545454545,0.0,3.7775,0.0,0.0036363636363636,0.4238095238095237,,0.1104761904761904,,,0.0361904761904761,0.9676190476190476,,0.3466666666666666,3.434666666666667,,19.0111320754717,4.459622641509434,0.5523076923076924,0.1684210526315789,0.638,6.9070909090909085,0.9,6.531395348837209,4.265172413793104,126.11592592592594,2.4832558139534884,25.26744186046512,47.21947368421053,9.710689655172414,0.0,160.30209302325582,0.0334482758620689,1.073076923076923,11.243953488372092,22.4125925925926,0.6348275862068966,2.246851851851852,1.1904761904761905,1.971818181818182,0.1982758620689655,1.4475862068965517,752.3711538461538,0.0,3.3206976744186045,1.0,,23.0,2.0,2.923684210526316,,18.43860465116279,472.2274418604651,,,,,117.0,19.682564102564104,0.164,,,2.326,0.4258974358974359,,,,2098.333,,,477.65,90.2304347826087,130.932,151.7013043478261,24.544,107.064,90.987,10.405,124.992,317.57,106.106,87.91000000000001,,90.651,,58.14200000000001,87.199,105.349,35.819,2.603,0.011,,,,,,,,,,,,,,,,0.0
,계란,,,,,,,,,,,,,,,,181.46130952380952,48.25,7.325597470238095,6.857020504619758,1.045,22.51083695806681,4.635252976190476,2.6666666666666665,75.23076923076923,0.6077777777777779,84.25,93.25,380.9821428571428,22.625,19.5,180.0,0.2516,0.22325,0.29425,3.911111111111112,1.8360000000000003,84.87741791044776,2.0145684523809524,0.025254491017964,,,,1.0,0.15,22.243333333333336,,,,,0.43,,,,,,,,,,,,,0.17,,0.0,,2.1,0.0,0.0,,0.0,,,14.093333333333334,6.846666666666667,1.235,0.1,0.6566666666666666,9.883333333333333,,0.1366666666666667,1.405,1.5033333333333332,0.79,4.786666666666666,100.0,1.29,0.0,307.12666666666667,0.0,10.41,11.69,0.0866666666666666,0.18,8.343333333333334,30.0,5.366666666666667,0.035,0.485,1605.25,0.0,0.12,0.0,,40.0,0.0,20.0,,57.336666666666666,792.4499999999999,,,,,70.0,10.813333333333333,0.27,,,8.39,0.5766666666666667,,,,5202.32,,,900.45,241.94,350.9,448.53,122.08,265.95,341.1,50.04,349.65,583.13,333.98,211.63,,250.9,,107.45,261.23,233.78,149.58,3.71,0.1,,,,,,,,,,,,,,,,
,고구마,,,,,,,,,,,,,,,,245.73652694610777,54.32424242424243,6.050353093812375,6.208776110723424,1.0635714285714286,42.78459675059676,11.805967548076923,5.645714285714285,212.031746031746,4.124905660377358,59.15151515151515,369.6666666666667,169.34212103055722,429.5744680851064,0.9090909090909092,712.8181818181819,643.0418571428571,0.6060652173913043,7.127804347826087,38.39571428571429,1.4383333333333332,12.543590651558077,2.593212996389892,0.0485673959068454,0.3424615384615385,0.2621538461538461,8.465,2.0523333333333333,0.3268421052631579,239.79057142857144,,0.8337857142857142,0.0,0.0,7.470999999999999,0.5284615384615384,0.0038461538461538,0.0084615384615384,0.0,0.0038461538461538,0.0046153846153846,0.0,0.0,2.3225,2.3225,0.0,0.0,0.2333333333333333,0.422,8.997777777777777,2.6274,13.5492,0.0,1.88,,0.5744444444444444,0.0969230769230769,,33.91304347826087,2.608695652173913,0.1694444444444444,0.0161111111111111,0.0195652173913043,0.3565217391304348,0.0,3.082,1.766,34.51173913043478,0.059,2.372,20.418333333333333,3.132,0.0,165.579,0.0,0.0178260869565217,8.405,14.443043478260869,0.028,0.0843478260869565,0.0,0.0439130434782608,0.272,0.5700000000000001,398.48434782608695,0.0,0.043,0.0,,36.0,2.0,2.7777777777777777,,3.147,439.3879999999999,,,,,140.0,78.86500000000001,0.5740000000000001,,,24.72666666666667,4.540869565217391,,,,1522.1,,,297.36,57.19055555555556,182.02666666666664,139.60789473684213,34.20166666666666,153.355,100.476,16.872,81.612,259.636,86.286,74.87210526315789,,129.12,88.0,52.034000000000006,145.355,81.34,70.36833333333333,5.006,0.04,,,,,,,,,,,,,,,,0.0
,고추,,,,,,,,,,,,,,,,219.9673981191223,55.96458333333333,7.396642319749216,8.884669185558357,2.949622641509434,27.82942080452546,10.103553459119498,3.89396551724138,95.33898305084746,1.705084745762712,129.52083333333334,331.3181818181818,1009.366373902133,72.71717171717172,14.308510638297872,574.5684210526316,0.2430842105263158,0.1717142857142857,1.5129897959183674,12.970192307692306,0.4780208333333333,17.8190203562341,1.9248050314465408,0.0481765087605451,0.2850909090909091,0.7978181818181818,5.206153846153847,0.34275,0.728421052631579,49.501634146341466,,0.5682307692307692,0.0,0.0,1.1667755102040815,1.853076923076923,0.0438461538461538,1.8746153846153844,0.073076923076923,0.01,0.0161538461538461,0.0,0.0,119.98145454545455,109.983,0.0,0.0,1.0107894736842105,,1.5273684210526317,15.64857142857143,,0.0,1.543157894736842,,2.026315789473684,6.960769230769231,,27.9825,2.4209876543209874,2.088936170212766,0.8108510638297872,15.020370370370369,88.89283950617283,0.4876923076923077,1.3466176470588236,4.264411764705883,708.4133333333334,1.9551470588235296,43.459264705882354,146.56763157894736,7.092058823529412,0.0,272.76529411764704,0.4114705882352941,3.4412345679012346,12.068970588235295,100.58481481481483,1.0579411764705882,6.274814814814816,15.263157894736842,43.10679012345678,0.3176470588235294,1.2261764705882352,1329.5353086419752,0.0,0.1654411764705882,0.0,,32.0,10.0,8.272894736842105,,68.73382352941177,679.1901470588235,,,,,108.4,47.19762711864407,0.2732,,,31.437600000000003,1.029344262295082,,,,10728.657368421053,,,1550.0179999999998,392.6645945945946,780.9976000000001,568.6048648648648,210.9632,464.6684,428.256,66.426,692.3152,947.4879999999998,542.6636,300.7824324324325,,415.1872,,270.99695652173915,382.972,369.1184,242.7908,3.6228,0.064,,,,,,,,,,,,,,,,
,고추장,,,,,,,,,,,,,,,,201.5751840168244,57.09736842105264,7.261854013319313,4.595117894736842,3.696818181818182,33.21219824561403,14.051671924290222,3.5415094339622644,48.9811320754717,1.22811320754717,106.1842105263158,318.38775510204084,1319.3375394321768,120.56410256410255,20.68421052631579,851.7631578947369,0.2937368421052631,0.1800999999999999,2.359475,5.345000000000001,0.3368888888888889,13.085739957716704,1.150504731861199,0.0295717344753747,0.34625,0.73325,6.085000000000001,0.457,0.4326666666666667,74.52345454545456,,0.1275,0.0,0.0,1.5995555555555556,2.2,0.1075,0.3349999999999999,0.105,0.0325,0.0525,0.0,0.0,6.133333333333333,4.6,0.0,0.0,1.54,,2.1366666666666663,15.73,,0.0,0.8573333333333333,,3.784,1.05,,32.18888888888889,1.0038709677419355,3.6425,0.6212500000000001,33.44258064516129,52.89032258064516,0.0,2.666296296296297,4.293333333333334,98.1732258064516,2.697777777777777,68.67185185185184,123.494,5.319999999999999,0.0,372.3937037037037,0.4683333333333333,3.564838709677419,11.872592592592593,11.47483870967742,1.125,10.25967741935484,19.33333333333333,29.689677419354837,0.3208333333333333,1.115,1451.6551612903224,0.0,0.21,0.0,,30.0,17.272727272727273,18.096666666666668,,105.4774074074074,861.0670370370369,,,,,89.0909090909091,38.07695652173913,0.2336363636363636,,,14.152727272727274,1.2355999999999998,,,,8249.17,,,1197.2236363636364,381.55,551.7245454545455,454.4406666666667,152.06636363636363,323.52272727272725,324.97545454545457,55.84909090909091,610.3863636363635,711.3836363636364,425.4390909090909,247.43066666666667,,311.9281818181818,,205.252,286.41,326.2918181818182,205.96636363636364,3.157272727272727,0.0954545454545454,,,,,,,,,,,,,,,,
,곱창전골,,,,,,,,,,,,,,,,83.5072463768116,75.85,4.859159420289855,4.789169082125602,1.84,5.36443961352657,1.231304347826087,2.2,24.25,0.5475,54.0,109.5,501.5942028985508,31.5,2.0,308.0,0.06875,0.11825,0.6857500000000001,0.865,0.0033333333333333,45.40507246376812,1.980434782608696,0.1147058823529411,,,,,,16.21,,,,,,,,,,,,,,,,,,0.25,,0.02,,,0.0,0.03,,0.08,,,150.0,0.0,,,0.1,0.125,,1.005,,0.23,181.585,66.92,30.0,,0.0,418.505,,10.025,0.545,0.085,,0.085,0.0,0.03,,,805.4200000000001,0.0,0.15,0.0,,20.0,0.0,70.0,,51.21,546.725,,,,,70.0,15.48,0.22,,,10.57,0.8,,,,,,,1188.99,104.68,435.78,468.06,101.18,277.94,312.61,70.55,446.33,618.73,414.66,214.1,,273.05,,184.04,262.02,407.21,139.89,1.14,0.03,,,,,,,,,,,,,,,,
,국수,,,,,,,,,,,,,,,,253.7226962457338,51.28409090909091,7.049427223847446,2.07847576385503,1.5026470588235294,52.06161316295574,3.4262842465753423,2.216,22.078125,1.4295,50.65909090909091,128.64814814814815,919.1988054607508,7.826086956521739,1.0930232558139534,97.33333333333331,0.092860465116279,0.0423953488372092,0.5197209302325582,0.5744,0.0058974358974358,2.5140881590319792,0.4963527397260274,0.0179792746113989,0.3205555555555555,0.1297777777777777,0.075,0.01175,0.1944,11.968000000000002,,0.2171999999999999,0.0,0.0,0.0855555555555555,0.03,0.02,0.002,0.0,0.003,0.174,0.0,0.0,0.0,0.0,0.0,0.0,0.2084615384615384,,1.175769230769231,,0.99,0.0,0.0365384615384615,,0.3507692307692308,0.625,,15.05,0.2971428571428571,2.5438888888888886,0.0111111111111111,0.1074285714285714,1.374,0.0,0.23,2.8350000000000004,136.94057142857142,1.4744,6.8648,10.5908,4.8500000000000005,0.0,56.386,0.03375,0.6954285714285714,2.602,7.456571428571429,0.14625,0.1602857142857142,0.8,0.7839999999999999,0.02875,0.31875,247.3722857142857,0.0,0.0692,0.0,,0.0,0.0,2.8,,14.4792,178.858,,,,,49.333333333333336,11.985652173913044,0.148,,,5.449333333333333,0.4891304347826087,,,,3360.65625,,,767.6546666666667,193.3536,130.372,349.16880000000003,33.36466666666667,112.58333333333331,139.7073333333333,41.062,148.60333333333335,201.506,128.2133333333333,160.7688,,100.16266666666664,,72.74499999999999,127.90333333333334,188.16333333333336,60.85533333333333,0.7653333333333333,0.0233333333333333,,,,,,,,,,,,,,,,
,김밥,,,,,,,,,,,,,,,,175.6798353909465,53.85652173913044,6.843457750342937,5.411440054869684,1.7686666666666668,25.080918381344308,2.68838683127572,3.7833333333333337,77.32,1.3544680851063828,81.82608695652173,154.8913043478261,452.6444444444445,96.96,6.130434782608695,1174.391304347826,0.1116086956521739,0.1536521739130434,1.1544782608695652,13.1328,0.0692307692307692,16.89010708401977,1.2193086419753087,0.0347224523612261,9.335,5.469,1.79,0.988,5.429999999999999,66.4204347826087,,1.215,0.0,0.0,0.7188888888888888,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1390.5,1390.5,0.0,0.0,0.084,,0.426,,,0.002,0.076,,0.0966666666666666,1.59,,18.340434782608696,2.203478260869565,2.0011111111111117,2.8544444444444443,0.9308695652173916,17.961304347826086,3.44,4.907727272727272,3.9825,3.3865217391304347,2.524090909090909,28.980454545454545,68.31733333333334,6.155,0.7142857142857143,242.93227272727276,0.0025,2.261739130434783,9.89090909090909,0.2452173913043478,0.52,5.539130434782609,19.199333333333332,68.42521739130434,0.16125,1.0525,1171.4108695652174,0.7142857142857143,3.3531818181818185,0.7142857142857143,,15.714285714285714,2.857142857142857,16.791999999999998,,40.37318181818181,646.5304545454545,,,,,98.57142857142856,12.202727272727271,0.2192857142857143,,,7.516428571428571,0.6372727272727272,,,,5370.245,,,747.7521428571428,333.844,279.8964285714286,489.474,100.515,232.46571428571428,237.8521428571429,51.105714285714285,299.09785714285715,415.51714285714286,269.56,261.51866666666666,,193.8007142857143,,159.54090909090908,207.0064285714286,178.33357142857145,122.73857142857145,1.9407142857142856,0.1114285714285714,,,,,,,,,,,,,,,,
,김치,,,,,,,,,,,,,,,,123.60052414825908,74.5,4.555955603394485,3.9029185407296354,1.8707692307692307,17.66676177536232,2.936655418072741,2.180446927374301,47.353591160220994,0.7585119047619048,52.671875,218.2,574.3740172220142,45.77464788732394,1.6554621848739497,374.025,0.1328846153846153,0.1260846153846153,0.8947674418604651,3.9453378378378376,0.164076923076923,7.156124528301887,1.037309853877857,0.033250382848392,0.1311538461538461,0.2534615384615384,0.4785714285714286,0.3255,0.1755555555555555,47.67944117647059,,0.3207857142857143,0.0,0.0,0.791,0.652142857142857,0.0478571428571428,0.2007142857142857,0.0135714285714285,0.0314285714285714,0.0,0.0021428571428571,0.0007142857142857,53.99785714285714,53.45142857142857,0.5464285714285715,0.0407142857142857,0.7419148936170213,,0.2131914893617021,,,0.0051063829787234,0.2146808510638297,,0.8006382978723405,0.4778571428571428,,20.539382716049385,0.9762,1.4279591836734693,1.0144897959183672,2.9027000000000003,25.3272,0.5542857142857143,2.156046511627907,2.1317142857142857,29.840000000000003,0.5665116279069767,28.914534883720933,39.37934782608696,4.140000000000001,0.0,154.84744186046512,0.884,2.1751,5.913720930232558,6.2335,25.25114285714285,6.2182,5.55804347826087,12.5132,0.1505714285714285,0.7977142857142857,601.6537999999999,0.0,1.0463953488372093,0.0,,10.9375,26.875,4.312826086956522,,30.13755813953488,384.0586046511628,,,,,85.0,19.40115942028985,0.2226470588235294,,,7.226875,0.5818169014084508,,272.42,,3889.4519999999993,,,690.890625,142.92217391304348,264.0609375,230.1417391304348,67.963125,181.0290625,172.249375,35.076875,260.0553125,359.92625,207.0284375,127.6717391304348,,161.4971875,,116.00903225806454,161.855625,163.72375,111.37,1.6853125000000002,0.0303125,,,,,,,,,,,,,,,,
